insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
35229,Pocé-les-Bois,35,53,Pocé-les-Bois (35),False
37185,Pocé-sur-Cisse,37,24,Pocé-sur-Cisse (37),False
33327,Podensac,33,75,Podensac (33),False
64449,Poey-d'Oloron,64,75,Poey-d'Oloron (64),False
64448,Poey-de-Lescar,64,75,Poey-de-Lescar (64),False
2B241,Poggio-Marinaccio,2B,94,Poggio-Marinaccio (2B),False
2B242,Poggio-Mezzana,2B,94,Poggio-Mezzana (2B),False
2B239,Poggio-d'Oletta,2B,94,Poggio-d'Oletta (2B),False
2B236,Poggio-di-Nazza,2B,94,Poggio-di-Nazza (2B),False
2B238,Poggio-di-Venaco,2B,94,Poggio-di-Venaco (2B),False
2A240,Poggiolo,2A,94,Poggiolo (2A),False
51436,Pogny,51,44,Pogny (51),False
39431,Poids-de-Fiole,39,27,Poids-de-Fiole (39),False
77368,Poigny,77,11,Poigny (77),False
78497,Poigny-la-Forêt,78,11,Poigny-la-Forêt (78),False
58211,Poil,58,27,Poil (58),False
08340,Poilcourt-Sydney,08,44,Poilcourt-Sydney (08),False
34206,Poilhes,34,76,Poilhes (34),False
35230,Poilley,35,53,Poilley (35),False
50407,Poilley,50,28,Poilley (50),False
51437,Poilly,51,44,Poilly (51),False
45254,Poilly-lez-Gien,45,24,Poilly-lez-Gien (45),False
89303,Poilly-sur-Serein,89,27,Poilly-sur-Serein (89),False
89304,Poilly-sur-Tholon,89,27,Poilly-sur-Tholon (89),False
72239,Poillé-sur-Vègre,72,52,Poillé-sur-Vègre (72),False
77369,Poincy,77,11,Poincy (77),False
52393,Poinsenot,52,44,Poinsenot (52),False
52394,Poinson-lès-Fayl,52,44,Poinson-lès-Fayl (52),False
52395,Poinson-lès-Grancey,52,44,Poinson-lès-Grancey (52),False
52396,Poinson-lès-Nogent,52,44,Poinson-lès-Nogent (52),False
97121,Pointe-Noire,971,01,Pointe-Noire (971),False
97120,Pointe-à-Pitre,971,01,Pointe-à-Pitre (971),False
61332,Pointel,61,28,Pointel (61),False
31427,Pointis-Inard,31,76,Pointis-Inard (31),False
31426,Pointis-de-Rivière,31,76,Pointis-de-Rivière (31),False
39432,Pointre,39,27,Pointre (39),False
28300,Poinville,28,24,Poinville (28),False
21488,Poinçon-lès-Larrey,21,27,Poinçon-lès-Larrey (21),False
85179,Poiroux,85,52,Poiroux (85),False
38309,Poisat,38,84,Poisat (38),False
52397,Poiseul,52,44,Poiseul (52),False
21489,Poiseul-la-Grange,21,27,Poiseul-la-Grange (21),False
21490,Poiseul-la-Ville-et-Laperrière,21,27,Poiseul-la-Ville-et-Laperrière (21),False
21491,Poiseul-lès-Saulx,21,27,Poiseul-lès-Saulx (21),False
58212,Poiseux,58,27,Poiseux (58),False
18182,Poisieux,18,24,Poisieux (18),False
